,company_name,company_address,company_brand,company_halal_status,company_info_url,state,category
51,VINDA MALAYSIA SDN. BHD.,"NO. 3 JALAN GICING HULU 28/33 HICOM INDUSTRIAL ESTATE, SECTOR C, 40400 SHAH ALAM, SELANGOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20110609-233752&type=C&ty=CO,01,KO
52,WIPRO UNZA (MALAYSIA) SDN BHD,"NO. 10, JALAN SUBANG 2, TAMAN PERINDUSTRIAN SUBANG, 47610 SUBANG JAYA, SELANGOR. 47610 Selangor",,,directory/slm_viewdetail.php?comp_code=COMP-20050711-183053&type=C&ty=CO,01,KO
53,WORLD CARE GROUPS SDN. BHD.,"59-02, JALAN SETIA TROPIKA 1/30, TAMAN SETIA TROPIKA, 80000 JOHOR BHARU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20200613-103336&type=C&ty=CO,01,KO
54,YOUBABY MILLION SDN.BHD.,"NO.72A, TINGKAT SATU JALAN PADI SATU BANDAR BARU UDA 81200 JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20210122-114451&type=C&ty=CO,01,KO
55,ZAFESHA NETWORK AND MARKETING SDN. BHD.,"NO. 13, TINGKAT 1, JALAN UTAMA, 2/4 TAMAN UTAMA, 85000 SEGAMAT, JOHOR. 85000 SEGAMAT Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20181005-151311&type=C&ty=CO,01,KO
56,BOY BAKERY HOUSE (M) SDN. BHD.,"NO. 99, JALAN RIVERA, MAHARANI RIVERA TANJUNG AGAS,  84000 MUAR, JOHOR DARUL TAKZIM. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20191028-164213&type=C&ty=CO,01,OEM
57,C.S FOODSTUFF ENTERPRISE SDN BHD,"NO. 24, JALAN PERUSAHAAN, KAWASAN PERINDUSTRIAN PARIT HULU, JALAN PARIT HULU, MUKIM  JALAN BAKRI,  84200 MUAR, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20111221-171715&type=C&ty=CO,01,OEM
58,CAHAYA F & B SDN. BHD.,"NO. 2 JALAN KUPRUM,   TAMAN WAWASAN 2, 83000 BATU PAHAT,JOHOR 83000 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20191125-122655&type=C&ty=CO,01,OEM
59,CALBEE URC MALAYSIA SDN. BHD.,"PLO 370, JALAN PERAK TIGA, KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20170927-180408&type=C&ty=CO,01,OEM
60,CCS FOOD & BEVERAGE MANUFACTURING SDN BHD,"NO.11, JALAN WAWASAN 8, KAWASAN PERINDUSTRIAN SRI GADING 83300 BATU PAHAT Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050601-124223&type=C&ty=CO,01,OEM
61,CELESTIAL VENTURES SDN BHD,"MLO 2321,  KAMPUNG RAHMAT, BATU 27, KELAPA SAWIT,  81030 KULAI, JOHOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20050810-161502&type=C&ty=CO,01,OEM
62,CENTRAL VISTA (M) SDN BHD,"NO. 25, JALAN BUKIT 1,  KAWASAN MIEL, BANDAR SERI ALAM, 81750 MASAI, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050715-150452&type=C&ty=CO,01,OEM
63,CHC GOURMET SDN BHD,"LOT 16, JALAN BUKIT 8,  KAWASAN MIEL SRI ALAM, 81750 PLENTONG, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20080528-180507&type=C&ty=CO,01,OEM
64,CHENG XING FOOD INDUSTRY (M) SDN BHD,"NO.1054-2, MRPJ G8,  LOT 1054,  PARIT PUNGGUR, JALAN ABDUL RAHMAN, 84000 MUAR, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20110629-031539&type=C&ty=CO,01,OEM
65,CHUEN CHEONG FOOD INDUSTRIES (M) SDN BHD,"LOT1906, JALAN CYBER 4, KAWASAN PERINDUSTRIAN SENAI 3, 81400 SENAI, JOHOR  ",,,directory/slm_viewdetail.php?comp_code=COMP-20050704-204044&type=C&ty=CO,01,OEM
66,CKL BROTHER MARKETING,"NO 1&3, GROUND FLOOR, JALAN BAIDURI TAMAN BAIDURI, SUNGAI MATI 84400 TANGKAK, JOHOR. 84400 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20190219-164415&type=C&ty=CO,01,OEM
67,COCOROSCO SDN BHD,"PLO 568, JALAN KELULI 9,  KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20111205-175437&type=C&ty=CO,01,OEM
68,COZZO FOOD INDUSTRIES SDN BHD,"A133, JALAN 2B, SUNGAI LALANG, KAWASAN PERUSAHAAN SG. LALANG, 08000 SUNGAI PETANI, KEDAH. 08000 SUNGAI PETANI Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20110613-233250&type=C&ty=CO,01,OEM
69,DAILY FRESH FOODS SDN. BHD.,"PLO 16, JALAN SR/3, KAWASAN PERINDUSTRIAN SIMPANG RENGGAM 1, 86200 SIMPANG RENGGAM, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20060323-105702&type=C&ty=CO,01,OEM
70,DELIMA OIL PRODUCTS SDN BHD,"LEVEL 21, WISMA FGV, JALAN RAJA LAUT, 50350 WILAYAH PERSEKUTUAN KUALA LUMPUR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20051018-124424&type=C&ty=CO,01,OEM
71,DELUXE RICH SDN BHD,"20, 22 & 24, JALAN 10, TAMAN PERINDUSTRIAN WAWASAN, 86000 KLUANG, JOHOR. 86000 KLUANG Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050527-111502&type=C&ty=CO,01,OEM
72,DESA SOUTHERN FOOD PRODUCTS SDN BHD,"NO. 1, LOT 2907, JALAN SRI BENGKAL,  PARIT SENGKUANG, SRI GADING, 83300 BATU PAHAT, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20120216-173701&type=C&ty=CO,01,OEM
73,DFF INDUSTRIES SDN BHD,"TL JK 27, KEDAI ROTI JALAN PERSISIRAN PADANG  FELDA AIR TAWAR 1 81900 KOTA TINGGI, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20190215-154854&type=C&ty=CO,01,OEM
74,DIAMOND OIL & FATS PRODUCTS SDN BHD,"PLO 780, JALAN KELULI 9, PASIR GUDANG INDUSTRIAL ESTATE, 81700 PASIR GUDANG, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20120603-003403&type=C&ty=CO,01,OEM
75,DOUBLE BILLION BAKERY SDN.BHD,"NO. 33,  JALAN SCIENTEX JAYA 6, TAMAN SCIENTEX SENAI, 81400 SENAI, JOHOR Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20200419-114205&type=C&ty=CO,01,OEM
76,DR WHO (M) SDN BHD,"NO.2A, JALAN INDAH GEMILANG 4, TAMAN PERINDUSTRIAN GEMILANG, 81800 ULU TIRAM, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20130510-155939&type=C&ty=CO,01,OEM
